user_id,condition,name,age,gender,occupation,education,familiar_with_diabetes,main_No Knowledge,"main_I have used AI systems such as chatgpt, midjourney etc.",main_I understand basic AI concepts,main_I understand advanced AI concepts,main_I am an AI researcher,main_I am an AI developer,pre_ChatGPT,pre_Claude.ai,pre_Perplexity,pre_Pi,pre_MidJourney,pre_Writing assistance and editing,pre_Problem-solving and brainstorming,pre_Language translation and explanation,pre_Math and coding,pre_Summarizing long texts or articles,pre_Explaining complex concepts in simpler terms,pre_Answering questions,pre_Providing general advice,pre_Help with making decisions,pre_Image generation,pre_Video generation,pre_frequency,pre_satisfaction,pre_complexity,pre_understand,pre_reliability,pre_trust,pre_accurate,pre_future,pre_use_others,pre_purpose_others,1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3,7_1,7_2,7_3,8_1,8_2,8_3,9_1,9_2,9_3,10_1,10_2,10_3,11_1,11_2,11_3,12_1,12_2,12_3,13_1,13_2,13_3,14_1,14_2,14_3,15_1,15_2,15_3,16_1,16_2,16_3,17_1,17_2,17_3,18_1,18_2,18_3,19_1,19_2,19_3,20_1,20_2,20_3,post_condition_satisfaction,post_condition_satisfaction_2,post_condition_text,post_satisfaction,post_complexity,post_reliability,post_accurate,post_base_question,post_challenge,post_open,post_use,post_confi,post_understand_condition,post_consistent,post_demanding,post_easier,post_mental_demanding,post_autonomy,post_trust,post_confident,post_notice,post_help_final,post_increase_trust,post_comfortable,post_like_use,post_trust_change,21,21_2,21_3,22,22_2,22_3,23,23_2,23_3,24,24_2,24_3,25,25_2,25_3,26,26_2,26_3,27,27_2,27_3,28,28_2,28_3,29,29_2,29_3,30,30_2,30_3,31,31_2,31_3,32,32_2,32_3,33,33_2,33_3,34,34_2,34_3,35,35_2,35_3,36,36_2,36_3,37,37_2,37_3,38,38_2,38_3,39,39_2,39_3,40,40_2,40_3,gpt_cl_estimation_1,gpt_cl_estimation_2,gpt_cl_estimation_3,gpt_cl_estimation_4,gpt_cl_estimation_5,gpt_cl_estimation_6,gpt_cl_estimation_7,gpt_cl_estimation_8,gpt_cl_estimation_9,gpt_cl_estimation_10,gpt_cl_estimation_11,gpt_cl_estimation_12,gpt_cl_estimation_13,gpt_cl_estimation_14,gpt_cl_estimation_15,gpt_cl_estimation_16,gpt_cl_estimation_17,gpt_cl_estimation_18,gpt_cl_estimation_19,gpt_cl_estimation_20,self_cl_1,ai_cl_1,self_cl_2,ai_cl_2,self_cl_3,ai_cl_3,self_cl_4,ai_cl_4,self_cl_5,ai_cl_5,self_cl_6,ai_cl_6,self_cl_7,ai_cl_7,self_cl_8,ai_cl_8,self_cl_9,ai_cl_9,self_cl_10,ai_cl_10,self_cl_11,ai_cl_11,self_cl_12,ai_cl_12,self_cl_13,ai_cl_13,self_cl_14,ai_cl_14,self_cl_15,ai_cl_15,self_cl_16,ai_cl_16,self_cl_17,ai_cl_17,self_cl_18,ai_cl_18,self_cl_19,ai_cl_19,self_cl_20,ai_cl_20,1_ai,1_gt,2_ai,2_gt,3_ai,3_gt,4_ai,4_gt,5_ai,5_gt,6_ai,6_gt,7_ai,7_gt,8_ai,8_gt,9_ai,9_gt,10_ai,10_gt,11_ai,11_gt,12_ai,12_gt,13_ai,13_gt,14_ai,14_gt,15_ai,15_gt,16_ai,16_gt,17_ai,17_gt,18_ai,18_gt,19_ai,19_gt,20_ai,20_gt
P2,5,P2,30,Man,Management,High school degree,4,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,1-4,5,5,6,5,5,5,5,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,2,,The AI's questions seemed to get stuck on pizza crust even on choices that didn't have pizza in them. So when that happened I just stopped relying on them.,5,5,5,5,4,The AI's explanations sometimes threw me off when they were wrong.,The AI's questions seemed to get stuck on pizza crust even on choices that didn't have pizza in them. So when that happened I just stopped relying on them.,4,5,5,5,3,4,5,6,5,6,4,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P6,5,P6,50,Woman,Radiologic Technologist,College degree,4,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,&lt;1,5,5,7,6,5,6,6,,,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2,,It made me pause and think and default in agreement if I was unsure. ,3,3,4,3,3,It was difficult to tell exactly what foods were being pictured. It would have been easier to  have the macros and the grams listed. ,It made me pause and think and default in agreement if I was unsure. ,1,2,3,3,6,3,6,7,4,3,2,3,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P18,5,P18,39,Man,real estate ,Master's degree,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1-4,7,7,7,7,7,7,7,,,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,6,,i know the type of food that has high sugar and i have also gone through the instructions from the first page and with the help of ai it made it more easier.,7,7,6,6,6,none,i know the type of food that has high sugar and i have also gone through the instructions from the first page and with the help of ai it made it more easier.,7,7,7,6,6,6,6,6,7,6,7,7,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P4,5,P4,55,Woman,Program Manager,High school degree,5,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,1-4,5,6,6,5,5,5,6,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,6,,"After reading the Al's questions it made you think more about the option chosen, which make you rethink your answer. ",6,6,6,6,6,At times it was hard to figure out the foods being shown and you had to guess. Then you had to make the chose of a healthy diabetic meal.,"After reading the Al's questions it made you think more about the option chosen, which make you rethink your answer. ",7,6,6,6,4,6,2,5,6,6,6,7,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P3,5,P3,43,Woman,Receptionist/ Security,High school degree,5,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,1-4,6,6,6,7,6,5,5,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,2,,"If the AI chose the same answer I did, I felt comfortable in my decision making.",6,5,6,6,5,"I found what was a little challenging is trying to recognize the food, I was not sure what some food was suppose to be.","If the AI chose the same answer I did, I felt comfortable in my decision making.",6,6,7,6,2,7,1,4,6,5,5,4,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P1,5,P1,19,Woman,Student,College degree,2,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,1-4,6,6,5,4,6,5,5,,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,5,,"I used the AI's questions to discern all the ingredients and compare between the meals. For example, which mean had more greens, complex carbohydrates, proteins, etc. ",6,4,3,2,3,"Some of the AI-generated questions were not relevant to the meal. For instance, sometime the question would ask an ingredient, like pizza crust, but the meal did not feature any pizza crust.","I used the AI's questions to discern all the ingredients and compare between the meals. For example, which mean had more greens, complex carbohydrates, proteins, etc. ",5,4,5,2,3,4,3,4,5,5,5,3,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P5,5,P5,55,Woman,Editor,College degree,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,&lt;1,2,5,5,2,3,2,3,,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,3,,"I generally went with AI if I was unsure about ingredients, and with my own judgement otherwise",4,3,4,4,4,"Determining what foods were on the plate, because sometimes it wasn't clear what I was looking at.","I generally went with AI if I was unsure about ingredients, and with my own judgement otherwise",2,5,3,6,4,4,5,7,4,5,5,4,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P7,5,P7,28,Man,Gig worker,High school degree,1,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,13-16,3,2,4,4,3,3,2,"Unsure, work as an annotator for AI data - many tools with redacted names",,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,1,,I wouldn't use this model for anything. ,3,4,2,1,1,"The inaccuracy of the model, especially ""pizza"" false positives constantly. ",I wouldn't use this model for anything. ,1,2,6,2,1,2,1,7,1,7,1,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P17,5,P17,51,Woman,Independant Contractor - Logistics,High school degree,3,False,True,True,True,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,13-16,6,4,6,4,5,4,5,,,False,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,5,,I used it to sus out what were some of the foods that I was looking at.,4,3,4,5,5,"In most of the photos, it was hard to identify what the actual foods were. The food looked very unappetizing and messy which also contributed to my struggle.",I used it to sus out what were some of the foods that I was looking at.,4,4,6,5,7,5,3,6,4,3,6,6,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P15,5,P15,34,Woman,office assistant,College degree,4,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,&lt;1,6,6,6,6,6,6,5,,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,4,,I would read them to try and understand the thought process for their meal selection.,5,5,4,5,4,trying to determine what was being shown in the pictures without any descriptions of the food.,I would read them to try and understand the thought process for their meal selection.,5,5,5,5,2,5,2,7,5,6,3,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
